N, Price
100,8.08361
200,8.09312
300,8.09629
400,8.09788
500,8.09883
600,8.09947
700,8.09992
800,8.10026
900,8.10053
1000,8.10074
1100,8.10091
1200,8.10106
1300,8.10118
1400,8.10128
1500,8.10137
1600,8.10145
1700,8.10152
1800,8.10158
1900,8.10164
2000,8.10169
2100,8.10174
2200,8.10178
2300,8.10181
2400,8.10185
2500,8.10188
2600,8.10191
2700,8.10194
2800,8.10196
2900,8.10199
3000,8.10201
3100,8.10203
3200,8.10205
3300,8.10207
3400,8.10208
3500,8.1021
3600,8.10211
3700,8.10213
3800,8.10214
3900,8.10215
4000,8.10217
4100,8.10218
4200,8.10219
4300,8.1022
4400,8.10221
4500,8.10222
4600,8.10223
4700,8.10224
4800,8.10225
4900,8.10225
5000,8.10226
5100,8.10227
5200,8.10228
5300,8.10228
5400,8.10229
5500,8.1023
5600,8.1023
5700,8.10231
5800,8.10231
5900,8.10232
6000,8.10233
6100,8.10233
6200,8.10234
6300,8.10234
6400,8.10235
6500,8.10235
6600,8.10235
6700,8.10236
6800,8.10236
6900,8.10237
7000,8.10237
7100,8.10238
7200,8.10238
7300,8.10238
7400,8.10239
7500,8.10239
7600,8.10239
7700,8.1024
7800,8.1024
7900,8.1024
8000,8.10241
8100,8.10241
8200,8.10241
8300,8.10241
8400,8.10242
8500,8.10242
8600,8.10242
8700,8.10242
8800,8.10243
8900,8.10243
9000,8.10243
9100,8.10243
9200,8.10244
9300,8.10244
9400,8.10244
9500,8.10244
9600,8.10244
9700,8.10245
9800,8.10245
9900,8.10245
10000,8.10245
10100,8.10245
10200,8.10246
10300,8.10246
10400,8.10246
10500,8.10246
10600,8.10246
10700,8.10247
10800,8.10247
10900,8.10247
11000,8.10247
11100,8.10247
11200,8.10247
11300,8.10247
11400,8.10248
11500,8.10248
11600,8.10248
11700,8.10248
11800,8.10248
11900,8.10248
12000,8.10248
12100,8.10249
12200,8.10249
12300,8.10249
12400,8.10249
12500,8.10249
12600,8.10249
12700,8.10249
12800,8.10249
12900,8.1025
13000,8.1025
13100,8.1025
13200,8.1025
13300,8.1025
13400,8.1025
13500,8.1025
13600,8.1025
13700,8.1025
13800,8.10251
13900,8.10251
14000,8.10251
14100,8.10251
14200,8.10251
14300,8.10251
14400,8.10251
14500,8.10251
14600,8.10251
14700,8.10251
14800,8.10251
14900,8.10252
15000,8.10252
